Timestamp: 2008.08.27. 13:41:06
Both: 1.0
Looser: -3.0
Neither: 0.0
Winner: 4.0


"run"|"tick"|"Strat2"|"Strat1"|"RngSeed"|"payoff1"|"payoff2"
1|10000.0|0|0|1|5666.0|4448.0
2|10000.0|0|0|2|5238.0|4860.0
3|10000.0|0|0|3|5305.0|4647.0
4|10000.0|0|0|4|4917.0|5085.0
5|10000.0|0|0|5|4871.0|5102.0
6|10000.0|0|0|6|4762.0|5308.0
7|10000.0|0|0|7|4616.0|5393.0
8|10000.0|0|0|8|4707.0|5239.0
9|10000.0|0|0|9|5510.0|4530.0
10|10000.0|0|0|10|5166.0|4802.0
11|10000.0|0|0|11|5694.0|4350.0
12|10000.0|0|0|12|4828.0|5066.0
13|10000.0|0|0|13|4830.0|5152.0
14|10000.0|0|0|14|5187.0|4844.0
15|10000.0|0|0|15|5059.0|4835.0
16|10000.0|1|0|1|-15246.0|20328.0
17|10000.0|1|0|2|-15057.0|20076.0
18|10000.0|1|0|3|-14988.0|19984.0
19|10000.0|1|0|4|-14886.0|19848.0
20|10000.0|1|0|5|-14829.0|19772.0
21|10000.0|1|0|6|-15126.0|20168.0
22|10000.0|1|0|7|-15177.0|20236.0
23|10000.0|1|0|8|-14835.0|19780.0
24|10000.0|1|0|9|-15192.0|20256.0
25|10000.0|1|0|10|-15009.0|20012.0
26|10000.0|1|0|11|-15087.0|20116.0
27|10000.0|1|0|12|-14958.0|19944.0
28|10000.0|1|0|13|-14958.0|19944.0
29|10000.0|1|0|14|-15033.0|20044.0
30|10000.0|1|0|15|-14850.0|19800.0
31|10000.0|2|0|1|24754.0|-9672.0
32|10000.0|2|0|2|24943.0|-9924.0
33|10000.0|2|0|3|25012.0|-10016.0
34|10000.0|2|0|4|25114.0|-10152.0
35|10000.0|2|0|5|25171.0|-10228.0
36|10000.0|2|0|6|24874.0|-9832.0
37|10000.0|2|0|7|24823.0|-9764.0
38|10000.0|2|0|8|25165.0|-10220.0
39|10000.0|2|0|9|24808.0|-9744.0
40|10000.0|2|0|10|24991.0|-9988.0
41|10000.0|2|0|11|24913.0|-9884.0
42|10000.0|2|0|12|25042.0|-10056.0
43|10000.0|2|0|13|25042.0|-10056.0
44|10000.0|2|0|14|24967.0|-9956.0
45|10000.0|2|0|15|25150.0|-10200.0
46|10000.0|3|0|1|5082.0|5082.0
47|10000.0|3|0|2|5019.0|5019.0
48|10000.0|3|0|3|4996.0|4996.0
49|10000.0|3|0|4|4966.0|4959.0
50|10000.0|3|0|5|4947.0|4940.0
51|10000.0|3|0|6|5042.0|5042.0
52|10000.0|3|0|7|5059.0|5059.0
53|10000.0|3|0|8|4945.0|4945.0
54|10000.0|3|0|9|5064.0|5064.0
55|10000.0|3|0|10|5003.0|5003.0
56|10000.0|3|0|11|5029.0|5029.0
57|10000.0|3|0|12|4986.0|4986.0
58|10000.0|3|0|13|4986.0|4986.0
59|10000.0|3|0|14|5015.0|5008.0
60|10000.0|3|0|15|4954.0|4947.0
61|10000.0|4|0|1|4426.0|5574.0
62|10000.0|4|0|2|4867.0|5133.0
63|10000.0|4|0|3|5028.0|4972.0
64|10000.0|4|0|4|5262.0|4737.0
65|10000.0|4|0|5|5395.0|4604.0
66|10000.0|4|0|6|4706.0|5294.0
67|10000.0|4|0|7|4587.0|5413.0
68|10000.0|4|0|8|5385.0|4615.0
69|10000.0|4|0|9|4552.0|5448.0
70|10000.0|4|0|10|4979.0|5021.0
71|10000.0|4|0|11|4797.0|5203.0
72|10000.0|4|0|12|5098.0|4902.0
73|10000.0|4|0|13|5098.0|4902.0
74|10000.0|4|0|14|4919.0|5080.0
75|10000.0|4|0|15|5346.0|4653.0
76|10000.0|0|1|1|20328.0|-15246.0
77|10000.0|0|1|2|20076.0|-15057.0
78|10000.0|0|1|3|19984.0|-14988.0
79|10000.0|0|1|4|19848.0|-14886.0
80|10000.0|0|1|5|19772.0|-14829.0
81|10000.0|0|1|6|20168.0|-15126.0
82|10000.0|0|1|7|20236.0|-15177.0
83|10000.0|0|1|8|19780.0|-14835.0
84|10000.0|0|1|9|20256.0|-15192.0
85|10000.0|0|1|10|20012.0|-15009.0
86|10000.0|0|1|11|20116.0|-15087.0
87|10000.0|0|1|12|19944.0|-14958.0
88|10000.0|0|1|13|19944.0|-14958.0
89|10000.0|0|1|14|20044.0|-15033.0
90|10000.0|0|1|15|19800.0|-14850.0
91|10000.0|1|1|1|0.0|0.0
92|10000.0|1|1|2|0.0|0.0
93|10000.0|1|1|3|0.0|0.0
94|10000.0|1|1|4|0.0|0.0
95|10000.0|1|1|5|0.0|0.0
96|10000.0|1|1|6|0.0|0.0
97|10000.0|1|1|7|0.0|0.0
98|10000.0|1|1|8|0.0|0.0
99|10000.0|1|1|9|0.0|0.0
100|10000.0|1|1|10|0.0|0.0
101|10000.0|1|1|11|0.0|0.0
102|10000.0|1|1|12|0.0|0.0
103|10000.0|1|1|13|0.0|0.0
104|10000.0|1|1|14|0.0|0.0
105|10000.0|1|1|15|0.0|0.0
106|10000.0|2|1|1|40000.0|-30000.0
107|10000.0|2|1|2|40000.0|-30000.0
108|10000.0|2|1|3|40000.0|-30000.0
109|10000.0|2|1|4|40000.0|-30000.0
110|10000.0|2|1|5|40000.0|-30000.0
111|10000.0|2|1|6|40000.0|-30000.0
112|10000.0|2|1|7|40000.0|-30000.0
113|10000.0|2|1|8|40000.0|-30000.0
114|10000.0|2|1|9|40000.0|-30000.0
115|10000.0|2|1|10|40000.0|-30000.0
116|10000.0|2|1|11|40000.0|-30000.0
117|10000.0|2|1|12|40000.0|-30000.0
118|10000.0|2|1|13|40000.0|-30000.0
